GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
task-api,com.example.taskapi.exception,GlobalExceptionHandler,0,86,0,0,0,18,0,4,0,4
task-api,com.example.taskapi.exception,TaskNotFoundException,0,5,0,0,0,2,0,1,0,1
task-api,com.example.taskapi.entity,Task,8,76,0,0,4,32,2,16,2,16
task-api,com.example.taskapi.entity,TaskStatus,0,21,0,0,0,4,0,1,0,1
task-api,com.example.taskapi.entity,TaskPriority,0,21,0,0,0,4,0,1,0,1
task-api,com.example.taskapi,TaskApiApplication,5,3,0,0,2,1,1,1,1,1
task-api,com.example.taskapi.dto,CreateTaskRequest,0,46,0,0,0,20,0,10,0,10
task-api,com.example.taskapi.dto,UpdateTaskRequest,0,46,0,0,0,20,0,10,0,10
task-api,com.example.taskapi.service,TaskService,0,89,4,4,0,25,4,7,0,7
task-api,com.example.taskapi.controller,TaskController,0,47,0,0,0,13,0,6,0,6
