productId,name,description,price,quantity
P001,Laptop,High-performance laptop,999.99,50
P002,Mouse,Wireless mouse,29.99,200
P003,Keyboard,Mechanical keyboard,79.99,150
P004,Monitor,27-inch 4K monitor,399.99,75
P005,Headphones,Noise-canceling headphones,199.99,100
P006,Webcam,HD webcam,89.99,120
P007,USB Hub,7-port USB hub,39.99,300
P008,SSD,1TB SSD drive,109.99,80
P009,RAM,16GB DDR5 RAM,89.99,90
P010,GPU,Graphics card,599.99,25
INVALID,Bad Product,Missing price,,10
P011,Tablet,10-inch tablet,449.99,60
P012,Charger,Fast charger,24.99,500
